IATA,ICAO,NAME,COUNTRY,ELEVATION,LATITUDE,LONGITUDE,WIKIPEDIA
BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),US,"3,967 feet","41° 52' 26.50"" N","103° 35' 44.30"" W",https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport
BFH,SBBI,Bacacheri Airport,BR,"3,057 feet","25° 24' 18.36"" S","49° 13' 55.19"" W",https://en.wikipedia.org/wiki/Bacacheri_Airport
BFI,KBFI,Boeing Field/King County International Airport,US,21 feet,"47° 31' 48.00"" N","122° 18' 7.01"" W",https://en.wikipedia.org/wiki/Boeing_Field
BFJ,NFFA,Ba Airport,,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
BFL,KBFL,Meadows Field,US,507 feet,"35° 26' 0.95"" N","119° 3' 24.37"" W",https://en.wikipedia.org/wiki/Meadows_Field_Airport
BFM,KBFM,Mobile Downtown Airport,US,26 feet,"30° 37' 36.42"" N","88° 4' 5.13"" W",https://en.wikipedia.org/wiki/Mobile_Downtown_Airport
BFN,FABL,Bloemfontein Airport,ZA,"4,458 feet","29° 5' 33.72"" S","26° 18' 8.64"" E",https://en.wikipedia.org/wiki/Bram_Fischer_International_Airport
BFO,FVCZ,Buffalo Range Airport,ZW,"1,421 feet","21° 0' 29.16"" S","31° 34' 42.96"" E",https://en.wikipedia.org/wiki/Buffalo_Range_Airport
BFP,KBVI,Beaver County Airport,US,"1,253 feet","40° 46' 20.90"" N","80° 23' 29.20"" W",https://en.wikipedia.org/wiki/Clayton_Municipal_Airpark
BFR,KBFR,Virgil I. Grissom Municipal Airport,US,728 feet,"38° 50' 24.12"" N","86° 26' 43.31"" W",https://en.wikipedia.org/wiki/Virgil_I._Grissom_Municipal_Airport
BFS,EGAA,Belfast International Airport,UK,268 feet,"54° 39' 27.00"" N","6° 12' 56.99"" W",https://en.wikipedia.org/wiki/Belfast_International_Airport
BFU,ZSBB,Bengbu Airport,CN,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Bengbu_Airport
BFV,VTUO,Buriram Airport,TH,590 feet,"15° 13' 46.20"" N","103° 15' 10.79"" E",https://en.wikipedia.org/wiki/Buriram_Airport
BFX,FKKU,Bafoussem Airport,CM,"4,347 feet","5° 32' 12.91"" N","10° 21' 16.56"" E",https://en.wikipedia.org/wiki/Bafoussam_Airport
BGA,SKBG,Palonegro Airport,CO,"3,897 feet","7° 7' 35.40"" N","73° 11' 5.28"" W",https://en.wikipedia.org/wiki/Palonegro_International_Airport
BGB,FOGB,Booue Airport,GA,0 feet,"0° 6' 0.00"" S","11° 56' 60.00"" E",https://en.wikipedia.org/wiki/Booué_Airport
BGC,LPBG,Bragança Airport,PT,"2,241 feet","41° 51' 28.08"" N","6° 42' 25.67"" W",https://en.wikipedia.org/wiki/Bragança_Airport
BGD,KBGD,Hutchinson County Airport,US,"3,055 feet","35° 42' 3.22"" N","101° 23' 37.19"" W",https://en.wikipedia.org/wiki/Hutchinson_County_Airport
BGE,KBGE,Decatur County Industrial Airpark,US,141 feet,"30° 58' 17.50"" N","84° 38' 14.80"" W",https://en.wikipedia.org/wiki/Decatur_County_Industrial_Air_Park
BGF,FEFF,Bangui M'Poko International Airport,CF,979 feet,"4° 23' 54.53"" N","18° 31' 7.68"" E",https://en.wikipedia.org/wiki/Bangui_M'Poko_International_Airport
BGH,GQNE,Abbaye Airport,MR,0 feet,"16° 37' 59.93"" N","14° 12' 0.00"" W",https://en.wikipedia.org/wiki/Abbaye_Airport
BGI,TBPB,Grantley Adams International Airport,BB,169 feet,"13° 4' 28.56"" N","59° 29' 33.00"" W",https://en.wikipedia.org/wiki/Grantley_Adams_International_Airport
BGJ,BIBF,Borgarfjörður Airport,IS,0 feet,"65° 30' 59.05"" N","13° 48' 18.00"" W",
BGL,VNBL,Baglung Airport,NP,"3,320 feet","28° 12' 46.08"" N","83° 39' 58.67"" E",https://en.wikipedia.org/wiki/Baglung_Airport
BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),US,"1,636 feet","42° 12' 31.28"" N","75° 58' 47.42"" W",https://en.wikipedia.org/wiki/Greater_Binghamton_Airport
BGN,ETUR,RAF Brüggen,DE,0 feet,"51° 11' 58.92"" N","6° 7' 55.49"" E",https://en.wikipedia.org/wiki/RAF_Bruggen
BGO,ENBR,Bergen Flesland Airport,NO,170 feet,"60° 17' 36.24"" N","5° 13' 5.30"" E","https://en.wikipedia.org/wiki/Bergen_Airport,_Flesland"
BGQ,PBGQ,Big Lake Airport,US,158 feet,"61° 32' 10.04"" N","149° 48' 50.03"" W",
BGR,KBGR,Bangor International Airport,US,192 feet,"44° 48' 26.80"" N","68° 49' 41.30"" W",https://en.wikipedia.org/wiki/Bangor_International_Airport
BGT,KE51,Bagdad Airport,US,0 feet,"34° 35' 45.25"" N","113° 10' 11.99"" W",
BGU,FEFG,Bangassou Airport,CF,0 feet,"4° 47' 6.00"" N","22° 46' 51.60"" E",https://en.wikipedia.org/wiki/Bangassou_Airport
BGX,SBBG,Comandante Gustavo Kraemer Airport,BR,600 feet,"31° 23' 25.80"" S","54° 6' 43.93"" W",https://en.wikipedia.org/wiki/Comandante_Gustavo_Kraemer_Airport
BGY,LIME,Orio al Serio International Airport,IT,782 feet,"45° 40' 26.04"" N","9° 42' 15.01"" E",https://en.wikipedia.org/wiki/Orio_al_Serio_International_Airport
BGZ,LPBR,Braga Airport,PT,247 feet,"41° 35' 13.56"" N","8° 26' 42.50"" W",https://en.wikipedia.org/wiki/Braga_Airport
BHA,SESV,Los Perales,EC,10 feet,"0° 36' 29.20"" S","80° 24' 9.73"" W",
BHB,KBHB,Hancock County-Bar Harbor Airport,US,83 feet,"44° 26' 59.17"" N","68° 21' 41.63"" W",https://en.wikipedia.org/wiki/Hancock_County-Bar_Harbor_Airport
BHD,EGAC,George Best Belfast City Airport,UK,15 feet,"54° 37' 5.16"" N","5° 52' 21.00"" W",https://en.wikipedia.org/wiki/George_Best_Belfast_City_Airport
BHE,NZWB,Woodbourne Airport,NZ,109 feet,"41° 31' 5.88"" S","173° 52' 11.98"" E",https://en.wikipedia.org/wiki/Woodbourne_Airport
BHF,SKCP,Bahía Cupica Airport,CO,0 feet,"6° 41' 31.00"" N","77° 28' 38.00"" W",
BHG,MHBL,Brus Laguna Airport,HN,0 feet,"15° 45' 47.16"" N","84° 32' 36.97"" W",
BHH,OEBH,Bisha Airport,SA,"3,887 feet","19° 59' 3.84"" N","42° 37' 15.24"" E",https://en.wikipedia.org/wiki/Bisha_Domestic_Airport
BHI,SAZB,Comandante Espora Airport,AR,246 feet,"38° 43' 30.00"" S","62° 10' 9.48"" W",https://en.wikipedia.org/wiki/Comandante_Espora_Airport
BHJ,VABJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base,IN,268 feet,"23° 17' 16.08"" N","69° 40' 12.71"" E",https://en.wikipedia.org/wiki/Bhuj_Airport
BHK,UTSB,Bukhara Airport,UZ,"2,975 feet","39° 46' 30.01"" N","64° 28' 59.88"" E",https://en.wikipedia.org/wiki/Bukhara_International_Airport
BHM,KBHM,Birmingham International Airport,US,650 feet,"33° 33' 46.59"" N","86° 45' 12.78"" W",https://en.wikipedia.org/wiki/Birmingham-Shuttlesworth_International_Airport
BHN,OYBN,Beihan Airport,YE,"3,800 feet","14° 46' 55.20"" N","45° 43' 12.36"" E",https://en.wikipedia.org/wiki/Beihan_Airport
BHO,VABP,Bhopal Airport,IN,"1,719 feet","23° 17' 15.00"" N","77° 20' 14.65"" E",https://en.wikipedia.org/wiki/Raja_Bhoj_Airport
BHP,VNBJ,Bhojpur Airport,NP,"4,000 feet","27° 8' 50.64"" N","87° 3' 2.87"" E",https://en.wikipedia.org/wiki/Bhojpur_Airport
BHQ,YBHI,Broken Hill Airport,AU,958 feet,"32° 0' 5.04"" S","141° 28' 19.20"" E",https://en.wikipedia.org/wiki/Broken_Hill_Airport
BHR,VNBP,Bharatpur Airport,NP,600 feet,"27° 40' 41.16"" N","84° 25' 45.83"" E",https://en.wikipedia.org/wiki/Bharatpur_Airport
BHS,YBTH,Bathurst Airport,AU,"2,435 feet","33° 24' 33.84"" S","149° 39' 7.17"" E",https://en.wikipedia.org/wiki/Bathurst_Airport_(New_South_Wales)
BHU,VABV,Bhavnagar Airport,IN,44 feet,"21° 45' 7.92"" N","72° 11' 6.73"" E",https://en.wikipedia.org/wiki/Bhavnagar_Airport
BHV,OPBW,Bahawalpur Airport,PK,392 feet,"29° 20' 53.16"" N","71° 43' 4.81"" E",https://en.wikipedia.org/wiki/Bahawalpur_Airport
BHX,EGBB,Birmingham Airport,UK,327 feet,"52° 27' 14.04"" N","1° 44' 52.91"" W",https://www.birminghamairport.co.uk
BHY,ZGBH,Beihai Airport,CN,0 feet,"21° 32' 21.84"" N","109° 17' 38.40"" E",https://en.wikipedia.org/wiki/Beihai_Fucheng_Airport
BIA,LFKB,Bastia - Poretta Airport,FR,26 feet,"42° 33' 9.72"" N","9° 29' 1.43"" E",https://en.wikipedia.org/wiki/Bastia_–_Poretta_Airport
BIB,HCMB,Baidoa Airport,SO,0 feet,"3° 6' 7.99"" N","43° 37' 42.96"" E",https://en.wikipedia.org/wiki/Baidoa_Airport
BID,KBID,Block Island State Airport,US,108 feet,"41° 10' 5.20"" N","71° 34' 40.20"" W",https://en.wikipedia.org/wiki/Block_Island_State_Airport
BIE,KBIE,Beatrice Municipal Airport,US,"1,324 feet","40° 18' 4.60"" N","96° 45' 14.80"" W",https://en.wikipedia.org/wiki/Beatrice_Municipal_Airport
BIF,KBIF,Biggs Army Airfield,US,"3,946 feet","31° 50' 58.30"" N","106° 22' 48.14"" W",https://www.bliss.army.mil/Biggs/
BIG,PABI,Allen Army Airfield (formerly Big Delta Army Airfield),US,"1,291 feet","63° 59' 40.20"" N","145° 43' 19.20"" W",https://en.wikipedia.org/wiki/Allen_Army_Airfield
BIH,KBIH,Eastern Sierra Regional Airport,US,"4,124 feet","37° 22' 23.20"" N","118° 21' 49.00"" W",https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport
BIK,WABB,Frans Kaisiepo Airport,ID,46 feet,"1° 11' 24.07"" S","136° 6' 28.81"" E",https://en.wikipedia.org/wiki/Frans_Kaisiepo_International_Airport
BIL,WADL,Bandara International Lombok Airport,ID,0 feet,"8° 45' 26.36"" S","116° 16' 36.03"" E",https://en.wikipedia.org/wiki/Lombok_International_Airport
BIL,KBIL,Billings Logan International Airport,US,"3,652 feet","45° 48' 27.60"" N","108° 32' 34.40"" W",https://en.wikipedia.org/wiki/Billings_Logan_International_Airport
BIM,MYBS,South Bimini Airport,BS,10 feet,"25° 41' 59.64"" N","79° 15' 52.93"" W",https://en.wikipedia.org/wiki/South_Bimini_Airport
BIN,OABN,Bamyan Airport,AF,0 feet,"34° 49' 1.20"" N","67° 49' 1.20"" E",https://en.wikipedia.org/wiki/Bamyan_Airport
BIO,LEBB,Bilbao Airport,ES,138 feet,"43° 18' 3.97"" N","2° 54' 38.20"" W",https://en.wikipedia.org/wiki/Bilbao_Airport
BIQ,LFBZ,Biarritz - Anglet - Bayonne Airport,FR,245 feet,"43° 28' 6.24"" N","1° 31' 23.95"" W",https://en.wikipedia.org/wiki/Biarritz_Pays_Basque_Airport
BIR,VNVT,Biratnagar Airport,NP,236 feet,"26° 28' 53.40"" N","87° 15' 50.40"" E",https://en.wikipedia.org/wiki/Biratnagar_Airport
BIS,KBIS,Bismarck Municipal Airport,US,"1,661 feet","46° 46' 21.84"" N","100° 44' 44.66"" W",https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport
BIT,VNBT,Baitadi Airport,NP,0 feet,"29° 27' 55.08"" N","80° 32' 57.13"" E",https://en.wikipedia.org/wiki/List_of_airports_in_Nepal
BIU,BIBD,Bíldudalur Airport,IS,18 feet,"65° 38' 28.67"" N","23° 32' 46.32"" W",https://en.wikipedia.org/wiki/Bíldudalur_Airport
BIV,FEFR,Bria Airport,CF,698 feet,"6° 31' 40.01"" N","21° 59' 21.84"" E",https://en.wikipedia.org/wiki/Bria_Airport
BIX,KBIX,Keesler Air Force Base,US,33 feet,"30° 24' 37.53"" N","88° 55' 27.96"" W",https://en.wikipedia.org/wiki/Keesler_Air_Force_Base
BIY,FABE,Bisho Airport,ZA,"1,950 feet","32° 53' 49.55"" S","27° 16' 44.76"" E",https://en.wikipedia.org/wiki/Bhisho_Airport
BJA,DAAE,Soummam Airport,DZ,20 feet,"36° 42' 43.21"" N","5° 4' 11.71"" E",https://en.wikipedia.org/wiki/Abane_Ramdane_Airport
BJB,OIMN,Bojnord Airport,IR,"3,499 feet","37° 29' 34.80"" N","57° 18' 29.52"" E",https://en.wikipedia.org/wiki/Bojnord_Airport
BJC,KBJC,Rocky Mountain Metropolitan Airport,US,"5,673 feet","39° 54' 31.63"" N","105° 7' 1.98"" W",https://en.wikipedia.org/wiki/Rocky_Mountain_Metropolitan_Airport
BJD,BIBK,Bakkafjörður Airport,IS,0 feet,"66° 1' 18.83"" N","14° 49' 27.84"" W",
BJF,ENBS,Båtsfjord Airport,NO,490 feet,"70° 36' 1.81"" N","29° 41' 29.04"" E",https://en.wikipedia.org/wiki/Båtsfjord_Airport
BJH,VNBG,Bajhang Airport,NP,"4,100 feet","29° 32' 20.40"" N","81° 11' 7.45"" E",https://en.wikipedia.org/wiki/Bajhang_Airport
BJI,KBJI,Bemidji Regional Airport,US,"1,391 feet","47° 30' 38.60"" N","94° 56' 5.00"" W",https://en.wikipedia.org/wiki/Bemidji_Regional_Airport
BJJ,KBJJ,Wayne County Airport,US,"1,136 feet","40° 52' 29.40"" N","81° 53' 17.70"" W",https://en.wikipedia.org/wiki/Wayne_County_Airport_(Ohio)
BJK,WAPK,Nangasuri Airport,ID,82 feet,"6° 3' 58.32"" S","134° 16' 26.41"" E",
BJL,GBYD,Banjul International Airport,GM,95 feet,"13° 20' 16.80"" N","16° 39' 7.92"" W",https://en.wikipedia.org/wiki/Banjul_International_Airport
BJM,HBBA,Bujumbura International Airport,BI,"2,582 feet","3° 19' 26.47"" S","29° 19' 6.60"" E",https://en.wikipedia.org/wiki/Bujumbura_International_Airport
BJO,SLBJ,Bermejo Airport,BO,"1,250 feet","22° 46' 23.88"" S","64° 18' 46.43"" W",https://en.wikipedia.org/wiki/Bermejo_Airport
BJR,HABD,Bahar Dar Airport,ET,"5,978 feet","11° 36' 29.16"" N","37° 19' 17.77"" E",https://en.wikipedia.org/wiki/Bahir_Dar_Airport
BJU,VNBR,Bajura Airport,NP,"4,300 feet","29° 30' 7.20"" N","81° 40' 8.40"" E",https://en.wikipedia.org/wiki/Bajura_Airport
BJV,LTFE,Milas-Bodrum Airport,TR,21 feet,"37° 15' 2.16"" N","27° 39' 51.48"" E",https://en.wikipedia.org/wiki/Milas-Bodrum_Airport
BJW,WATB,Bajawa Padhameleda Airport,ID,0 feet,"8° 46' 59.99"" S","120° 56' 59.99"" E",https://en.wikipedia.org/wiki/Bajawa_Soa_Airport
BJW,WRKB,Bajawa Airport,ID,0 feet,"8° 48' 29.30"" S","120° 59' 45.61"" E",https://en.wikipedia.org/wiki/Bajawa_Soa_Airport
BJX,MMLO,Del Bajío International Airport (Guanajuato Int'l Airport),MX,"5,956 feet","20° 59' 36.60"" N","101° 28' 51.61"" W",https://en.wikipedia.org/wiki/Bajío_International_Airport
BJY,LYBT,Batajnia Air Base,RS,265 feet,"44° 56' 7.08"" N","20° 15' 27.00"" E",https://en.wikipedia.org/wiki/Batajnica_Air_Base
BJZ,LEBZ,Talavera la Real Airport,ES,609 feet,"38° 53' 28.68"" N","6° 49' 16.79"" W",https://en.wikipedia.org/wiki/Badajoz_Airport
BKA,UUBB,Bykovo Airport,RU,0 feet,"55° 37' 1.92"" N","38° 3' 36.00"" E",https://en.wikipedia.org/wiki/Bykovo_Airport
BKB,VIBK,Nal Airport,IN,750 feet,"28° 4' 14.16"" N","73° 12' 25.92"" E",
BKC,PABL,Buckland Airport,US,31 feet,"65° 58' 53.75"" N","161° 8' 56.41"" W",https://en.wikipedia.org/wiki/Buckland_Airport
BKD,KBKD,Stephens County Airport,US,"1,284 feet","32° 43' 8.57"" N","98° 53' 27.60"" W",
BKE,KBKE,Baker City Municipal Airport,US,"3,373 feet","44° 50' 14.40"" N","117° 48' 32.70"" W",https://en.wikipedia.org/wiki/Baker_City_Municipal_Airport
BKF,KBKF,Buckley Air Force Base,US,"5,662 feet","39° 42' 6.00"" N","104° 45' 5.98"" W",https://en.wikipedia.org/wiki/Buckley_Space_Force_Base
BKH,PHBK,Barking Sands PMRF,US,23 feet,"22° 1' 22.08"" N","159° 47' 6.01"" W",https://en.wikipedia.org/wiki/Pacific_Missile_Range_Facility
BKI,WBKK,Kota Kinabalu International Airport,MY,10 feet,"5° 56' 13.96"" N","116° 3' 3.61"" E",https://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport
BKJ,GUOK,Boké Airport,GN,0 feet,"10° 57' 56.88"" N","14° 16' 51.96"" W",https://en.wikipedia.org/wiki/Boké_Baralande_Airport
BKK,VTBS,Suvarnabhumi Airport,TH,5 feet,"13° 41' 9.00"" N","100° 44' 56.00"" E",http://www.suvarnabhumiairport.com
BKL,KBKL,Burke Lakefront Airport,US,583 feet,"41° 31' 3.00"" N","81° 40' 60.00"" W",https://en.wikipedia.org/wiki/Cleveland_Burke_Lakefront_Airport
BKM,WBGQ,Bakalalan Airport,MY,0 feet,"3° 58' 26.40"" N","115° 37' 4.79"" E",https://en.wikipedia.org/wiki/Ba'kelalan_Airport
BKN,DRRB,Birni Nkoni Airport,NE,0 feet,"13° 48' 5.40"" N","5° 14' 32.50"" E",
BKO,GABS,Senou International Airport,ML,"1,247 feet","12° 32' 0.60"" N","7° 56' 59.78"" W",https://en.wikipedia.org/wiki/Modibo_Keita_International_Airport
BKQ,YBCK,Blackall Airport,AU,928 feet,"24° 25' 40.08"" S","145° 25' 44.40"" E",https://en.wikipedia.org/wiki/Blackall_Airport
BKR,FTTK,Bokoro Airport,TD,0 feet,"12° 22' 58.80"" N","17° 4' 1.20"" E",https://en.wikipedia.org/wiki/Bokoro_Airport
BKS,WIPL,Padang Kemiling Airport (Fatmawati Soekarno Airport),ID,113 feet,"3° 51' 49.32"" S","102° 20' 20.39"" E",
BKT,KBKT,Allen C. Perkinson Airport / Blackstone Army Airfield,US,439 feet,"37° 4' 26.21"" N","77° 57' 8.97"" W",https://en.wikipedia.org/wiki/Blackstone_Army_Airfield
BKU,FMSV,Betioky Airport,MG,0 feet,"23° 43' 58.80"" S","44° 23' 20.40"" E",
BKW,KBKW,Raleigh County Memorial Airport,US,"2,504 feet","37° 47' 14.38"" N","81° 7' 26.99"" W",https://en.wikipedia.org/wiki/Raleigh_County_Memorial_Airport
BKX,KBKX,Brookings Regional Airport,US,"1,648 feet","44° 18' 17.40"" N","96° 49' 1.00"" W",https://en.wikipedia.org/wiki/Brookings_Regional_Airport
BKY,FZMA,Kuvumu Airport,CD,"5,643 feet","2° 18' 32.33"" S","28° 48' 31.68"" E",https://en.wikipedia.org/wiki/Kavumu_Airport
BKZ,HTBU,Bukoba Airport,TZ,0 feet,"1° 19' 55.20"" S","31° 49' 16.32"" E",https://en.wikipedia.org/wiki/Bukoba_Airport
BLA,SVBC,Generál José Antonio Anzoátegui International Airport,VE,26 feet,"10° 6' 25.56"" N","64° 41' 21.12"" W",https://en.wikipedia.org/wiki/Generál_José_Antonio_Anzoátegui_International_Airport
BLB,MPHO,"Howard Airport (private, former Howard AFB)",PA,52 feet,"8° 54' 53.26"" N","79° 35' 58.68"" W",https://en.wikipedia.org/wiki/Howard_Air_Force_Base
BLC,FKKG,Bali Airport,,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Bali_Airport
BLE,ESSD,Borlänge Airport (Dala Airport),SE,503 feet,"60° 25' 19.20"" N","15° 30' 54.72"" E",https://en.wikipedia.org/wiki/Dala_Airport
BLF,KBLF,Mercer County Airport,US,"2,857 feet","37° 17' 44.90"" N","81° 12' 27.70"" W",https://en.wikipedia.org/wiki/Mercer_County_Airport_(West_Virginia)
BLG,WBGC,Belaga Airport,MY,130 feet,"2° 39' 0.00"" N","113° 46' 1.19"" E",https://en.wikipedia.org/wiki/Belaga_Airport
BLH,KBLH,Blythe Airport,US,399 feet,"33° 37' 9.00"" N","114° 43' 0.80"" W",https://en.wikipedia.org/wiki/Blythe_Airport
BLI,KBLI,Bellingham International Airport,US,170 feet,"48° 47' 33.90"" N","122° 32' 15.10"" W",https://en.wikipedia.org/wiki/Bellingham_International_Airport
BLJ,DABT,Batna Airport,DZ,"2,697 feet","35° 45' 7.57"" N","6° 18' 30.92"" E",https://en.wikipedia.org/wiki/Batna_Airport
BLK,EGNH,Blackpool International Airport,UK,34 feet,"53° 46' 18.13"" N","3° 1' 43.00"" W",https://en.wikipedia.org/wiki/Blackpool_Airport
BLL,EKBI,Billund Airport,DK,247 feet,"55° 44' 25.08"" N","9° 9' 6.41"" E",https://en.wikipedia.org/wiki/Billund_Airport
BLM,KBLM,Monmouth Executive Airport,US,159 feet,"40° 11' 12.90"" N","74° 7' 29.59"" W",https://en.wikipedia.org/wiki/Monmouth_Executive_Airport
BLN,YBLA,Benalla Airport,AU,569 feet,"36° 33' 6.84"" S","146° 0' 25.21"" E",https://en.wikipedia.org/wiki/Benalla_Airport
BLO,BIBL,Hjaltabakki Airport,IS,0 feet,"65° 38' 41.99"" N","20° 17' 15.00"" W",https://en.wikipedia.org/wiki/Blönduós_Airport
BLP,SPBL,Huallaga Airport,PE,0 feet,"7° 3' 38.02"" S","76° 34' 55.92"" W",
BLQ,LIPE,"Bologna-Borgo Panigale ""Guglielmo Marconi"" Airport",IT,123 feet,"44° 32' 7.44"" N","11° 17' 19.32"" E",https://en.wikipedia.org/wiki/Bologna_Guglielmo_Marconi_Airport
BLR,VOBL,Kempegowda International Airport,IN,915 feet,"13° 11' 52.44"" N","77° 42' 22.68"" E",https://www.bengaluruairport.com
BLS,YBLL,Bollon Airport,AU,0 feet,"28° 3' 29.88"" S","147° 28' 58.81"" E",
BLT,YBTR,Blackwater Airport,AU,657 feet,"23° 36' 11.16"" S","148° 48' 25.22"" E",https://en.wikipedia.org/wiki/Blackwater_Airport
BLU,KBLU,Blue Canyon - Nyack Airport,US,"5,284 feet","39° 16' 29.90"" N","120° 42' 35.10"" W",https://en.wikipedia.org/wiki/Blue_Canyon-Nyack_Airport
BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,US,459 feet,"38° 32' 42.64"" N","89° 50' 6.66"" W",https://en.wikipedia.org/wiki/MidAmerica_St._Louis_Airport
BLX,LIDB,Arturo dell'Oro,IT,0 feet,"46° 10' 3.00"" N","12° 14' 52.44"" E",https://en.wikipedia.org/wiki/Belluno_Airport
BLY,EIBT,Belmullet Airport,IE,0 feet,"54° 13' 22.08"" N","10° 1' 50.88"" W",
BLZ,FWCL,Chileka International Airport,MW,"2,555 feet","15° 40' 44.76"" S","34° 58' 26.40"" E",https://en.wikipedia.org/wiki/Chileka_International_Airport
BMA,ESSB,Stockholm-Bromma Airport,SE,47 feet,"59° 21' 15.84"" N","17° 56' 30.12"" E",https://en.wikipedia.org/wiki/Stockholm_Bromma_Airport
BMB,FZFU,Bumbar Airport,CD,0 feet,"2° 10' 58.01"" N","22° 28' 54.12"" E",https://en.wikipedia.org/wiki/Bumba_Airport
BMC,KBMC,Brigham City Airport,US,"4,229 feet","41° 33' 8.60"" N","112° 3' 44.00"" W",https://en.wikipedia.org/wiki/Brigham_City_Airport
BMD,FMML,Belo sur Tsiribihina Airport,MG,0 feet,"19° 41' 12.12"" S","44° 32' 30.84"" E",https://en.wikipedia.org/wiki/Belo_sur_Tsiribihina_Airport
BME,YBRM,Broome International Airport,AU,56 feet,"17° 56' 40.92"" S","122° 13' 55.21"" E",https://en.wikipedia.org/wiki/Broome_International_Airport
BMF,FEGM,Bakouma Airport,CF,0 feet,"5° 41' 38.40"" N","22° 48' 3.60"" E",https://en.wikipedia.org/wiki/Bakouma_Airport
BMG,KBMG,Monroe County Airport,US,845 feet,"39° 8' 45.68"" N","86° 37' 0.06"" W",https://en.wikipedia.org/wiki/Monroe_County_Airport_(Indiana)
BMI,KBMI,Central Illinois Regional Airport,US,871 feet,"40° 28' 37.60"" N","88° 54' 57.30"" W",http://www.cira.com
BMJ,SYBR,Baramita Airport,GY,0 feet,"7° 22' 12.43"" N","60° 29' 16.80"" W",https://en.wikipedia.org/wiki/Baramita_Airport
BMK,EDWR,Borkum Airport,DE,0 feet,"53° 35' 47.00"" N","6° 42' 33.00"" E",https://en.wikipedia.org/wiki/Borkum_Airfield
BML,KBML,Berlin Municipal Airport,US,"1,161 feet","44° 34' 31.34"" N","71° 10' 33.36"" W",https://en.wikipedia.org/wiki/Berlin_Regional_Airport
BMM,FOOB,Bitam Airport,GA,"1,969 feet","2° 4' 32.30"" N","11° 29' 35.52"" E",https://en.wikipedia.org/wiki/Bitam_Airport
BMN,ORBB,Bamarni Airport,IQ,0 feet,"37° 5' 55.68"" N","43° 15' 59.77"" E",
BMO,VYBM,Bhamo Airport,MM,370 feet,"24° 16' 8.40"" N","97° 14' 46.32"" E",https://en.wikipedia.org/wiki/Banmaw_Airport
BMP,YBPI,Brampton Island Airport,AU,0 feet,"20° 48' 11.88"" S","149° 16' 12.02"" E",
BMR,EDWZ,Baltrum Airport,DE,0 feet,"53° 43' 29.01"" N","7° 22' 24.00"" E",
BMS,SNBU,Socrates Mariani Bittencourt Airport,BR,"1,673 feet","14° 15' 19.38"" S","41° 49' 2.85"" W",
BMT,KBMT,Beaumont Municipal Airport,US,32 feet,"30° 4' 12.73"" N","94° 12' 54.35"" W",http://www.cityofbeaumont.com/airport.htm
BMU,WADB,Bima Airport,ID,3 feet,"8° 32' 22.74"" S","118° 41' 13.19"" E",https://en.wikipedia.org/wiki/Sultan_Muhammad_Salahudin_Airport
BMV,VVBM,Phung-Duc Airport,VN,"1,729 feet","12° 40' 5.88"" N","108° 7' 12.01"" E",https://en.wikipedia.org/wiki/Buon_Ma_Thuot_Airport
BMW,DATM,Bordj Badji Mokhtar Airport,DZ,"1,302 feet","21° 22' 39.47"" N","0° 55' 33.39"" E",https://en.wikipedia.org/wiki/Bordj_Mokhtar_Airport
BMX,PABM,Big Mountain Airport,US,0 feet,"59° 21' 40.31"" N","155° 15' 32.41"" W",
BMY,NWWC,Île Art - Waala Airport (Belep Islands Airport),NC,0 feet,"19° 43' 14.16"" S","163° 39' 39.58"" E",https://en.wikipedia.org/wiki/Île_Art_-_Waala_Airport
BNA,KBNA,Nashville International Airport,US,599 feet,"36° 7' 28.10"" N","86° 40' 41.50"" W",https://en.wikipedia.org/wiki/Nashville_International_Airport
BNB,FZGN,Boende Airport,CD,0 feet,"0° 13' 1.20"" S","20° 51' 0.00"" E",https://en.wikipedia.org/wiki/Boende_Airport
BNC,FZNP,Beni Airport,CD,0 feet,"0° 34' 30.00"" N","29° 28' 26.04"" E",https://en.wikipedia.org/wiki/Beni_Airport
BND,OIKB,Bandar Abbas International Airport,IR,22 feet,"27° 13' 5.88"" N","56° 22' 40.08"" E",https://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport
BNE,YBBN,Brisbane Airport,AU,13 feet,"27° 23' 3.12"" S","153° 7' 1.22"" E",https://en.wikipedia.org/wiki/Brisbane_Airport
BNG,KBNG,Banning Municipal Airport,US,"2,219 feet","33° 55' 21.30"" N","116° 51' 1.90"" W",https://en.wikipedia.org/wiki/Banning_Municipal_Airport
BNI,DNBE,Benin City Airport,NG,258 feet,"6° 19' 1.13"" N","5° 35' 58.20"" E",https://en.wikipedia.org/wiki/Benin_Airport
